wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,event,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles
Saricmu,22035931,28,1,2014,8/31/14,1138,10/12/17,8/31/14,0,Ebola,2,2,Ebola virus,8/31/14,8/3/14,4.0,-1.5,3.0
Satkara,23049166,1031,1,2014,8/29/17,44,10/12/17,8/29/17,1,Ebola,1,1,Ebola virus disease in Mali,11/3/14,11/2/14,310.0,-64.16451612903226,54.0
Scoottz,22788329,19,1,2014,10/27/14,1081,10/12/17,10/27/14,1,Ebola,1,1,West African Ebola virus epidemic,10/22/14,10/8/14,2.0,294.0,1.0
Scorcher592,22209020,62,1,2014,10/16/14,1092,10/12/17,10/16/14,1,Ebola,1,1,West African Ebola virus epidemic,8/15/14,8/15/14,6.0,-21.833333333333332,4.0
Scotch93,22249977,0,1,2014,8/18/14,1151,10/12/17,8/18/14,1,Ebola,1,1,West African Ebola virus epidemic,8/18/14,8/18/14,1.0,29.0,1.0
Sedlarczuk,23003822,1,1,2014,10/30/14,1078,10/12/17,10/30/14,1,Ebola,1,1,West African Ebola virus epidemic,10/29/14,10/29/14,3.0,0.0,1.0
Shadowvault,23005758,86,1,2014,1/23/15,993,10/12/17,1/23/15,1,Ebola,3,3,West African Ebola virus epidemic,11/10/14,10/29/14,1.0,8.0,1.0
Shastaman19,22953194,0,1,2014,10/24/14,1084,10/12/17,10/24/14,1,Ebola,1,1,West African Ebola virus epidemic,10/24/14,10/24/14,1.0,2.0,1.0
Shriram10,22233382,3,1,2014,8/20/14,1149,10/12/17,8/20/14,1,Ebola,1,1,West African Ebola virus epidemic,8/20/14,8/17/14,1.0,18.0,1.0
Sirgrossgergeofficial,22064290,202,1,2014,2/23/15,962,10/12/17,2/23/15,1,Ebola,1,1,Ebola virus,8/5/14,8/5/14,2.0,144.5,1.0
